Shop Name,City,Neighborhood,Address,Website,Instagram,Category,Vibe,Price Tier,Silo Fit,Contact Email,Contact Name,Google Rating,Outreach Status,Notes
Slope Home,Brooklyn,Park Slope,"229 Fifth Avenue, Brooklyn, NY 11215",https://slopehome.com,@slopehome,Curated Home Goods & Antiques,"Beautiful, intentional living - handcrafted housewares, minimalism",$$$,Perfect,,,,To Research,
Elementality,Asheville,South Asheville,"1224 Hendersonville Rd, Asheville, NC 28803",https://elementalityasheville.com,@elementalityasheville,"Design Objects, Home Goods","Art and nature boutique with handcrafted jewelry, apparel, and home goods",$$,Strong,,,,To Research,
DIGS,Seattle,Ballard,2002 NW Market St,https://www.digsshowroom.com/,@digsshowroom,"Design Objects, Home Goods","Scandinavian-style housewares, modern functional items like Swedish homes",$$,Perfect,,,,To Research,
Heartfelt,Minneapolis,Linden Hills,"4306 Upton Ave S, Minneapolis, MN 55410",,@heartfeltmpls,"Design Objects, Home Goods","Arts and crafts store with wooden toys, creative gifts and artisan goods",$$,Strong,,,,To Research,
Vintage Pink,Portland,Hawthorne,"2500 SE Hawthorne Blvd, Portland, OR 97214",http://www.ilovevintagepink.com/,@vintagepinkpdx,"Design Objects, Home Goods","Mid-century modern furniture, lighting, art and decor from 20+ vendors",$$,Strong,,,,To Research,
Historic Charleston Foundation Shop,Charleston,Downtown,"108 Meeting St, Charleston, SC 29401",https://www.historiccharleston.org/shop,@historiccharleston,"Design Objects, Home Goods","Museum shop with Charleston-inspired gifts, books, and preservation-themed items",$$,Perfect,,,,To Research,
Mogutable,Brooklyn,Williamsburg,"130 Grand Street, Brooklyn, NY 11249",https://mogutable.com,@mogutable,Tableware & Home Goods,"Artisanal tableware, Hasami Porcelain, Japanese teaware",$$,Perfect,,,,To Research,
Storied at Home,Seattle,Columbia City,3829B Edmunds St,https://www.storiedathome.com/,@storiedathome,"Design Objects, Home Goods","Design build firm owners, home gifts conversation starters, finishing touches",$$,Perfect,,,,To Research,
Atrio,Los Angeles,Culver City,"8888 Washington Blvd, Suite 100, Culver City, CA 90232",https://www.shopatrio.com/,@shopatrio,"Design Objects, Home Goods","Jeremiah Brent lifestyle boutique with exclusive collaborations, Cultiver linens, Serax tableware",$$,Perfect,,,,To Research,
Habitat Home & Garden,Los Angeles,Malibu,21249 Pacific Coast Highway,https://habitathomeandgarden.com/,@habitathomeandgarden,"Design Objects, Home Goods","Coastal California luxe, rustic wood furniture, sun-bleached accessories",$$,Perfect,,,,To Research,
Moon+Arrow,Philadelphia,Queen Village,"742 S 4th St, Philadelphia, PA 19147",https://moonandarrow.com,@moonandarrow,"Design Objects, Home Goods",Sustainable handmade boutique with vintage finds and home goods,$$,Perfect,,,,To Research,
Capers Home,Seattle,West Seattle,"4525 California Ave SW, Seattle, WA 98116",https://capershomeseattle.com/,@capershome,"Design Objects, Home Goods","Locally crafted art and ceramics, sustainable and fair trade goods",$$,Perfect,,,,To Research,
Four Corners Home,Asheville,Downtown,"15 Page Ave, Asheville, NC 28801",https://fourcornershome.com,@fourcornershome,"Design Objects, Home Goods",Contemporary home goods and furniture store with modern design focus,$$,Perfect,,,,To Research,
KABINETT PDX,Portland,Central Eastside,Central Eastside (exact address TBD),https://www.kabinettpdx.com/,@kabinettpdx,"Design Objects, Home Goods",New vintage furniture plus vermouth shop with beautiful barware and gifts,$$,Perfect,,,,To Research,
Canvas Home,New York,SoHo,"Broome Street, New York, NY",https://canvashome.com,@canvashome,Ceramics & Table Linens,"Rainbow ceramics, modern tableware, bright contemporary space",$$$,Perfect,,,,To Research,
Pluff Mud Mercantile,Charleston,West Ashley,"2408 Ashley River Rd, Unit R, Charleston, SC 29414",https://pluffmudmercantile.com,@pluffmudmercantile,"Design Objects, Home Goods","Small batch handcrafted candles, soaps, aromatherapy products and crystals",$$,Strong,,,,To Research,
Jane Cookshop,New York,East Village,"328 East 9th Street, New York, NY",https://janecookshop.com,@janecookshop,Kitchen & Artisan Goods,Cottage-like white studio showcasing handmade kitchen tools,$$$,Perfect,,Jennifer Ro,,To Research,
Neighborly,Chicago,TBD,Chicago (exact address TBD),https://neighborlyshop.com/,@neighborlyshop,"Design Objects, Home Goods","Woman-owned, 200+ independent makers, small batch Midwest focus",$$,Perfect,,,,To Research,
Cohens Retreat,Savannah,Historic District,"117 W River St, Savannah, GA 31401",https://cohensretreat.com,@cohensretreat,"Design Objects, Home Goods",Antique marketplace with Brown Dog Market featuring Savannah gift ideas and decor,$$,Strong,,,,To Research,
Heather Scott Home & Design,Austin,Central Austin,"1105 West 42nd St, Austin, TX 78756",https://www.heatherscotthome.com,@heatherscotthome,"Design Objects, Home Goods","Award-winning interior design team and retail boutique, classic, chic & serene interiors",$$$,Perfect,,,,To Research,
Antidote,Miami,Design District,Design District (exact address TBD),https://antidotemiami.com/,@antidotemiami,"Design Objects, Home Goods","Sustainable fashion from independent designers, ethical eco-friendly without compromising style",$$,Perfect,,,,To Research,
Woodland Mod,Seattle,Ballard,"5330 Ballard Ave NW, Seattle, WA 98107",https://woodlandmod.com/,@woodland_mod,"Design Objects, Home Goods",Scandi-minimalist boutique celebrating timeless design and artisan craftsmanship from independent makers,$$,Perfect,,,,To Research,
Curiosity,Minneapolis,Northeast,"1228 2nd Street NE Suite 3, Minneapolis, MN 55413",https://curiosityhomedecor.com,@curiosityneminneapolis,"Design Objects, Home Goods","NE Minneapolis shop featuring local makers, home goods, clothing and fair trade gifts",$$,Perfect,,,,To Research,
I Heart Denver Store,Denver,Downtown,"500 16th St, Ste 264, Denver, CO 80202",https://iheartdenverstore.com,@iheartdenverstore,"Design Objects, Home Goods",200+ Colorado artists and designers showcase with Denver-themed gifts and artwork,$$,Strong,,,,To Research,
Flourish & Foundry,Boston,TBD,Boston (exact address TBD),https://www.flourishandfoundryshop.com/,@flourishandfoundry,"Design Objects, Home Goods","Premier home decor gift shop, artisan home goods, curated finds",$$,Perfect,,,,To Research,
Celestial Treasures,Miami,Coconut Grove,"3444 Main Hwy, Suite 3, Coconut Grove, FL 33133",https://www.celestial-treasures.com/,@celestialtreasuresmiami,"Design Objects, Home Goods","Spiritual goods: crystals, candles, books, unique jewelry",$$,Maybe,,,,To Research,
Gather Home + Lifestyle,Chicago,Wicker Park,2321 W North Ave,https://gatherhomeandlifestyle.com/,@gatherhomeandlifestyle,"Design Objects, Home Goods","Modern minimalist, geometric wall hangings, stoneware, kitchen goods",$$,Perfect,,,,To Research,
Nora,Detroit,Midtown,"4240 Cass Ave, Detroit, MI 48201",https://noradetroit.com,@noradetroit,"Design Objects, Home Goods",Boutique in Auburn building with curated lifestyle products and unique finds,$$,Strong,,,,To Research,
BEAM,New York,Williamsburg,"272 Kent Ave, Brooklyn, NY 11249",https://beambk.com/,@beambrooklyn,"Design Objects, Home Goods","Modern furniture, lighting, artwork and home goods with premium brands",$$,Perfect,,,,To Research,
Sfingiday,Austin,South Lamar,"2058 South Lamar Blvd, Austin, TX 78704",https://sfingiday.com,@sfingiday,Handmade Boutique & Home Goods,"Curated gifts from makers across country, ceramics, local businesses",$$,Perfect,,,,To Research,
Katie Kime,Austin,North Lamar,"500 N Lamar, Suite 150, Austin, TX 78703",https://katiekime.com,@katiekimehome,Bold Furniture & Design,"Austin-based designer, statement furniture, bold accessories, vibrant design",$$$,Perfect,,Katie Kime,,To Research,
Mantel,Portland,Kenton,"8202 N Denver Ave, Portland, OR 97217",https://mantelpdx.com/,@mantelpdx,"Design Objects, Home Goods",Home and lifestyle boutique specializing in ceramics from local and global artists,$$,Perfect,,,,To Research,
Coutula,Los Angeles,Venice,"Abbot Kinney Blvd, Venice, CA 90291",https://coutula.com,@coutula,Global Design & Homeware,"Clothing, jewelry, bags, homeware by local and global designers",$$-$$$,Strong,,,,To Research,
Asheville Art Museum Shop,Asheville,Downtown,"2 S Pack Square, Asheville, NC 28801",https://www.ashevilleart.org/shop,@ashevilleart,"Design Objects, Home Goods","Contemporary art museum shop with art books, design objects, and unique gifts",$$,Perfect,,,,To Research,
Hester & Cook,Nashville,White Bridge,"84 White Bridge Rd, Nashville, TN 37205",https://hesterandcook.com/,@hesterandcook,"Design Objects, Home Goods","Home, gift, and paper goods for celebrations",$$,Perfect,,,,To Research,
Minima,Philadelphia,Old City,"131 N 3rd Street, Philadelphia, PA 19106",https://minima.us,@minima_philly,"Design Objects, Home Goods",Modern design showroom with contemporary furniture and lighting,$$$,Perfect,,,,To Research,
Occasionette,Philadelphia,East Passyunk,"1825 E Passyunk Ave, Philadelphia, PA 19148",https://occasionette.com,@occasionette,"Design Objects, Home Goods","Gift shop with candles, kitchen items, cards and thoughtful presents",$$,Perfect,,,,To Research,
Telfair Museum Shop,Savannah,Historic District,"121 Barnard St, Savannah, GA 31401",https://www.telfair.org/shop,@telfairmuseums,"Design Objects, Home Goods","Art museum shop with curated art books, design objects, and unique cultural gifts",$$,Perfect,,,,To Research,
M. Crow,New York,SoHo,"SoHo, Manhattan, NY",,@mcrowgeneral,Handmade Home Goods,"Labor-of-love ethos, handmade home goods from Lostine, Oregon roots",$$-$$$,Perfect,,,,To Research,
Frangipani,Miami,Wynwood,"2239 NW 2nd Ave, Miami, FL 33127",https://www.facebook.com/Frangipanidesign/,@frangipani_miami,"Design Objects, Home Goods",Funky concept store celebrating independent makers,$$,Perfect,,,,To Research,
Bomi,New York,SoHo,"54 Mercer Street, 2nd Floor, New York, NY 10013",,@bomi.nyc,Korean Minimalist Home Goods,Korean minimalism-inspired home goods and design objects,$$$,Perfect,,Bomi Jin,,To Research,
Plank and Coil,Portland,NW,"2366 NW York St, Portland, OR 97210",https://www.facebook.com/plankandcoil,@plankandcoil,"Design Objects, Home Goods","Organic furnishings, mattresses, bedding and sustainable accessories",$$,Strong,,,,To Research,
Monica James & Co.,Miami,Design District,"131 NE 40th St, Miami, FL 33137",https://monicajames.com,@monicajamesco,"Design Objects, Home Goods","30+ years in Miami Design District, curated collections of exquisite furnishings, fabrics, and accessories",$$$,Perfect,,,,To Research,
The Collective Shop,New Orleans,Garden District,"3512 Magazine St, New Orleans, LA 70115",https://statementgoods.com,@statementgoods,"Design Objects, Home Goods",Uptown boutique featuring Statement Goods and local artisan collections,$$,Perfect,,,,To Research,
Wishbone,San Francisco,Inner Sunset,"Inner Sunset, San Francisco, CA",,@wishbonesf,Locally Made Goods,"Cool locally made things, Inner Sunset location",$$,Strong,,,,To Research,
deKor,Los Angeles,Echo Park,"3183 Glendale Blvd, Los Angeles, CA 90039",https://dekorliving.com/,@dekor.living,"Design Objects, Home Goods",Swedish-founded lifestyle boutique mixing Scandinavian elegance with vintage furnishings and textiles,$$,Perfect,,,,To Research,
Ware,Asheville,South Asheville,"1800 Hendersonville Rd, Asheville, NC 28803",https://wareasheville.com,@wareasheville,"Design Objects, Home Goods",Modern home goods store with carefully curated furniture and design objects,$$,Perfect,,,,To Research,
Thistle & Poppy,Seattle,Capitol Hill,"428 15th Ave E, Seattle, WA 98112",https://www.thistleandpoppy.com/,@shopthistleandpoppy,"Design Objects, Home Goods","Family concept shop with sustainable design for kids, adults, and home",$$,Strong,,,,To Research,
Kinto NYC,New York,Nolita,"211 Elizabeth Street, New York, NY 10012",https://kinto-usa.com,@kinto_usa,Japanese Housewares,"Premium Japanese housewares, coffee gear, minimal design",$$$,Perfect,,,,To Research,
Art Star,Philadelphia,Old City,"599 Market Street, Philadelphia, PA 19106",https://artstarphilly.com,@artstarphilly,"Design Objects, Home Goods",Handcrafted gifts and home accessories by local and national artists,$$,Strong,,,,To Research,
Stitch and Tickle,Boston,SoWa,"63 Thayer St, Boston, MA 02118",https://stitchandtickle.com,@stitchandtickle,"Design Objects, Home Goods",Independent lifestyle boutique with handmade leather goods and home accessories,$$,Strong,,,,To Research,
Philadelphia Independents,Philadelphia,Old City,"35 N. 3rd Street, Philadelphia, PA 19106",https://philadelphiaindependents.com,@phillyindependents,"Design Objects, Home Goods",Handmade items from 50+ local makers including home decor and gifts,$$,Strong,,,,To Research,
Alchemist,Miami,South Beach,Lincoln Road parking structure,https://thealchemist.com/,@thealchemist,"Design Objects, Home Goods","Avant-garde fashion and design, innovative retail approach, distinctive luxury",$$,Perfect,,,,To Research,
The Apartment by The Line,New York,SoHo,"SoHo, New York, NY",,@theline,Fashion Beauty & Home Goods,"Chic apartment where every item is for sale, curated lifestyle",$$$,Strong,,,,To Research,
Take Heart,Austin,East Austin,East Austin (exact address TBD),https://takeheartaustin.com/,@takeheartaustin,"Design Objects, Home Goods","Japanese incense, books, ceramics from local artisans, tasteful curation",$$,Perfect,,,,To Research,
Uncommon Objects,Austin,South Austin,"1602 Fortview Rd, Austin, TX 78704",https://www.uncommonobjects.com,@uncommonobjects,"Design Objects, Home Goods","Raw materials for creative living, one-of-a-kind emporium of transcendent junk, 24 antique sellers",$$,Strong,,,,To Research,
Tortoise General Store,Los Angeles,Mar Vista,"12701 Venice Blvd, Los Angeles, CA 90066",https://shop.tortoisegeneralstore.com,@tortoisegeneralstore,Japanese Design & Home Goods,"Slow and steady design, Japanese crafts, modern housewares, Hasami",$$-$$$,Perfect,,Keiko & Taku Shinomoto,,To Research,
Retrofit Home,Seattle,Capitol Hill,1103 E Pike St,https://www.retrofithome.com/,@retrofithome,"Design Objects, Home Goods","Vintage-inspired furniture, succulents cards vases terrariums, fun planters",$$,Perfect,,,,To Research,
KRB NYC,New York,Upper East Side,"135 E 79th Street, New York, NY 10075",https://krbnyc.com,@krbnyc,Curated Antiques & Furniture,"Kate Rheinstein Brodsky curated vintage, antiques, unique home decor",$$$,Perfect,,Kate Rheinstein Brodsky,,To Research,
Sterling Place,Brooklyn,Boerum Hill,Atlantic Ave (exact address TBD),http://www.sterlingplace.com/,@sterlingplace,"Design Objects, Home Goods",Thrifty vintage shop with funky furniture and retro barware,$$,Perfect,,,,To Research,
Logan Mercantile,Chicago,Logan Square,"3505 W Fullerton Ave, Chicago, IL",https://shop.loganmercantile.com/,@loganmercantile,"Design Objects, Home Goods","Home, garden, utility and lifestyle goods in the heart of Logan Square",$$,Perfect,,,,To Research,
The Wardrobe & More,Miami,Coconut Grove,"3098 Fuller St No 10, Coconut Grove, FL 33133",https://thewardrobeandmore.com/,@thewardrobeandmore,"Design Objects, Home Goods",Lifestyle concept shop with artisan goods and curated home items,$$,Strong,,,,To Research,
Reverie Living,Denver,Wash Park,"950 S Gaylord St, Denver, CO 80209",https://reverieliving.com,@reverieliving,"Design Objects, Home Goods","Contemporary boutique offering unique affordable gifts, homewares, and personal accessories",$$,Strong,,,,To Research,
Goodies,Los Angeles,Santa Monica,"1309 Montana Ave, Santa Monica, CA 90403",https://goodies.la,@goodies.la,"Design Objects, Home Goods","Thoughtful gifts, home staples, one-of-a-kind finds, beautiful things under $25",$,Maybe,,,,To Research,
Betsu Studio,Philadelphia,Port Richmond,"3232 Collins St, Philadelphia, PA 19134",https://betsustudio.com,@betsustudio,"Design Objects, Home Goods","Named Americas Best Design Shops by Dwell, vintage and modern furniture",$$$,Perfect,,,,To Research,
Olive Ateliers,Los Angeles,Arts District,"1210 Mateo St, Los Angeles, CA 90021",https://oliveateliers.com,@oliveateliers,"Design Objects, Home Goods","Heirloom-worthy furniture, antiques, pottery and garden decor sourced globally",$$$,Perfect,,,,To Research,
Moona Moono,Minneapolis,Uptown,"3048 Hennepin Ave S, Minneapolis, MN 55408",https://moonamoono.com,@moonamoono,"Design Objects, Home Goods","Cafe with kawaii home goods, Korean beauty products and stationery",$$,Strong,,,,To Research,
Asrai Garden,Chicago,Wicker Park,"Wicker Park, Chicago, IL",https://asraigarden.com,@asraigarden,Floral & Home Goods,"Founded 1999, floral arrangements, fine jewelry, homewares",$$-$$$,Strong,,Elizabeth Cronin,,To Research,
Galerie Half,Los Angeles,Melrose,"6911 Melrose Ave, Los Angeles, CA 90038",,@galeriehalf,Curated Design Objects,"Super curated, every piece a statement and treasure",$$$,Perfect,,,,To Research,
Machine Age,Boston,TBD,Boston (exact address TBD),https://machine-age.com/,@machineage,"Design Objects, Home Goods","Modern design icons vintage 20th century, Eames Saarinen Nelson, restoration services",$$,Perfect,,,,To Research,
Inkling,Chicago,Lakeview,"2917 1/2 N Broadway, Chicago, IL 60657",https://www.theinklingshop.com,@theinklingshop,"Design Objects, Home Goods","Locally-sourced art, greeting cards, jewelry, apothecary and gifts, lovely curiosities",$$,Strong,,,,To Research,
Pewabic Pottery,Detroit,East Jefferson,"10125 E Jefferson Ave, Detroit, MI 48214",https://pewabic.org/shop,@pewabicpottery,"Design Objects, Home Goods","Historic pottery studio with handcrafted ceramics, tiles, and home goods since 1903",$$,Perfect,,,,To Research,
Savannah Bee Company,Charleston,King Street,"409 King St, Charleston, SC 29403",https://savannahbee.com,@savannahbee,"Design Objects, Home Goods","Artisanal honey products, natural skincare, and bee-inspired gifts and home goods",$$,Strong,,,,To Research,
Forage Modern Workshop,Minneapolis,Powderhorn,"4023 East Lake Street, Minneapolis, MN 55406",https://foragemodernworkshop.com,@foragemodern_mn,"Design Objects, Home Goods","Modern, vintage and locally crafted home goods treasures featured in Dwell",$$,Perfect,,,,To Research,
Gohar World,NYC,SoHo,181 Lafayette Street,https://gohar.world/,@goharworld,"Design Objects, Home Goods","Curio cabinet feel, sculptural candles and antique servingware",$$,Perfect,,,,To Research,
Forever New Orleans,New Orleans,French Quarter,"700 Royal St, New Orleans, LA 70116",https://shopforeverneworleans.com,@foreverneworleans,"Design Objects, Home Goods",Locally owned French Quarter boutique with NOLA gifts and home decor,$,Strong,,,,To Research,
La Fonda Newsstand,Santa Fe,Plaza,"100 E San Francisco St, Santa Fe, NM 87501",https://lafondasantafe.com/shops,@lafondasantafe,"Design Objects, Home Goods","Historic hotel shop with Santa Fe gifts, books, and regional home goods",$$,Maybe,,,,To Research,
Merchant House,New Orleans,Garden District,"1150 Magazine St, New Orleans, LA 70130",https://merchanthouse.co,@merchanthouse.co,"Design Objects, Home Goods",Fine vintage for modern life and inspired interiors,$$,Perfect,,,,To Research,
Jolly Goods,Denver,Berkeley,"4020 Tennyson St, Denver, CO 80212",https://shopjollygoodsdenver.com,@jollygoodsdenver,"Design Objects, Home Goods",Eclectic boutique with curated gifts and handcrafted goods from 50+ local makers,$$,Strong,,,,To Research,
Sue Fisher King,San Francisco,Fillmore,"1913 Fillmore Street, San Francisco, CA 94115",https://suefisherking.com,@suefisherking,Luxury Home Goods,"Fine home goods since 1978, Astier de Villatte, luxury design",$$$,Perfect,,Sue Fisher King,,To Research,
Imogene + Willie,Nashville,12 South,"2601 12th Avenue South, Nashville, TN 37203",https://imogeneandwillie.com/,@imogeneandwillie,"Design Objects, Home Goods",Premium denim shop in historic service station with curated goods,$$,Strong,,,,To Research,
Bee & Pollen,Denver,Platt Park,"1789 S Pearl St, Denver, CO 80210",https://beeandpollen.com,@beeandpollen,"Design Objects, Home Goods",Full-service floral design studio with curated home goods and unique gifts,$$,Strong,,,,To Research,
Provisions Mercantile,Asheville,West Asheville,"728 Haywood Rd, Asheville, NC 28806",https://www.provisionsmercantile.com,@provisionsmercantile,"Design Objects, Home Goods","Modern-day general store with curated gifts, home goods, and local artisan products",$$,Perfect,,,,To Research,
Wilderhouse,Chicago,Wicker Park,"1339 N Damen Ave, Chicago, IL 60622",https://www.wilderhouse.com/,@wilder.house,"Design Objects, Home Goods",Elevated essentials for the elemental home with West Coast aesthetic,$$,Perfect,,,,To Research,
Natural Selection,Brooklyn,DUMBO,DUMBO (exact address TBD),https://naturalselectionny.com/,@naturalselectionny,"Design Objects, Home Goods","Spacious shop with worldly personality, culture and craft focus",$$,Perfect,,,,To Research,
Plume,Miami,Shops at Lakeshore,"4744 SW 72nd Ave, Miami, FL 33155",https://www.facebook.com/plumehomedecor,@plumehomedecor,"Design Objects, Home Goods","Luxury boutique specializing in designer cushions, lamps, wallpaper",$$,Perfect,,,,To Research,
DACHA,Los Angeles,West Hollywood,"420 N Robertson Blvd, West Hollywood, CA 90048",http://www.dachainteriors.com,@dachainteriors,"Design Objects, Home Goods","Haven for those who appreciate art of design, unique handcrafted pieces, artistic flair",$$,Perfect,,,,To Research,
Our Place,Los Angeles,Venice,"1344 Abbot Kinney Blvd, Venice, CA 90291",https://fromourplace.com,@fromourplace,Home Goods & Cookware,Modern cookware and home goods brand flagship,$$-$$$,Perfect,,,,To Research,
Wild Flowers,Denver,Congress Park,"1200 E 9th Ave, Denver, CO 80218",https://wildflowersdenver.com,@wildflowersdenver,"Design Objects, Home Goods",Delightful plant and gift shop for plant lovers with curated home and garden items,$$,Strong,,,,To Research,
Tula House,Brooklyn,Greenpoint,Greenpoint (exact address TBD),https://tulahouse.com/,@tulahouse,"Design Objects, Home Goods",Beautiful plant shop with expert staff and home accessories,$$,Perfect,,,,To Research,
HW Home,Denver,Wash Park,"1035 S Gaylord St, Denver, CO 80209",https://hwhome.com,@hwhome,"Design Objects, Home Goods",Contemporary home goods store offering stylish furniture and modern design pieces,$$,Perfect,,,,To Research,
NB Shop,Los Angeles,West Hollywood,725 N. La Cienega Blvd,https://www.natashabaradaran.com/,@natashabaradaran,"Design Objects, Home Goods","Interior designer Natasha Baradaran Persian textile collection, jasmine-scented",$$,Perfect,,,,To Research,
POST,Detroit,Midtown,"4240 Cass Ave, Suite 109, Detroit, MI 48201",https://postdetroit.com,@postdetroit,"Design Objects, Home Goods",Auburn building collective known as Detroit best place to shop small with curated home goods,$$,Strong,,,,To Research,
Black & Gold,San Francisco,Castro,"Castro, San Francisco, CA",,@blackandgoldsf,Vintage Accessories & Furniture,"Mid-century and Hollywood Regency gems, vintage lighting",$$-$$$,Perfect,,,,To Research,
,,,,,,,,,,,,,,
Miette,New Orleans,Lower Garden District,"2038 Magazine St, New Orleans, LA 70130",https://iheartmiette.com,@miette,"Design Objects, Home Goods","Wonderland boutique with unique jewelry, housewares, and handmade crafts",$$,Perfect,,,,To Research,
Maquette,Los Angeles,Larchmont,507 N. Larchmont Blvd,https://www.shopmaquette.com/,@shop_maquette,"Design Objects, Home Goods",Three interior designers 1920s bungalow co-working retail space,$$,Perfect,,,,To Research,
A Custom House,Austin,Austin,"Austin, TX",,@acustomhouse,Home Goods & Furniture Showroom,"Retail and interior designers, showroom setting, client projects",$$$,Perfect,,,,To Research,
Woonwinkel,Portland,Downtown,"935 SW Washington St, Portland, OR 97205",https://www.woonwinkelhome.com/,@woonwinkelhome,"Design Objects, Home Goods","Sunny Scandinavian style home goods and furniture, named best of Portland",$$,Perfect,,,,To Research,
Indigo Traders,Portland,Multnomah Village,Multnomah Village (exact address TBD),https://www.indigotraders.com/,@indigotraders,"Design Objects, Home Goods","Turkish Moroccan Middle Eastern imports, towels rugs baskets kitchen supplies",$$,Perfect,,,,To Research,
Local Take,San Francisco,Castro,"4122 18th St, San Francisco, CA 94114",https://www.localtakesf.com,@localtake,"Design Objects, Home Goods","Featuring local designers and artists, art, jewelry, accessories, home goods from 80 local artists",$$,Strong,,,,To Research,
Woodland Mod,Seattle,Ballard,5330 Ballard Ave NW,https://www.woodlandmod.com/,@woodlandmod,"Design Objects, Home Goods","Scandinavian home goods, minimalist decor, hygge aesthetic, feel cool shopping",$$,Perfect,,,,To Research,
Big Night West Village,New York,West Village,"236 West 10th Street, New York, NY",https://bignightbk.com,,Kitchen & Tableware,Playful dinner party haven designed like fantasy NYC apartment,$$$,Perfect,,Katherine Lewin,,To Research,
Cookbook Market,Los Angeles,Echo Park,"1549 Echo Park Ave, Los Angeles, CA 90026",https://cookbookmarket.com/,@cookbookmarket,"Design Objects, Home Goods",Neighborhood marketplace with seasonal produce and curated goods including locally made ceramics,$$,Perfect,,,,To Research,
The Commons,Charleston,King Street,"298 King St, Charleston, SC 29401",https://thecommonscharleston.com,@thecommonscharleston,"Design Objects, Home Goods",Locally sourced goods and artisan-made home products with community focus,$$,Strong,,,,To Research,
Modern Market,New Orleans,Central City,"1200 Annunciation St, New Orleans, LA 70130",https://modernmarketlifestyle.com,@modernmarketlifestyle,"Design Objects, Home Goods",Curated lifestyle brand focused on positive design impact,$$,Perfect,,,,To Research,
Carter & Rose,Portland,Central Portland,"Portland, OR",https://carterandrose.com/,@carterandrose,"Design Objects, Home Goods",Woman-owned small business making and curating beautiful handmade goods from talented makers,$$,Perfect,,,,To Research,
Hive Modern Design,Portland,Pearl District,"820 NW Glisan St, Portland, OR 97209",https://hivemodern.com/,@hivemodern,"Design Objects, Home Goods","Modern furniture showroom featuring Herman Miller, Knoll, B&B Italia",$$$,Perfect,,,,To Research,
Homebody Boutique,Brooklyn,Park Slope,"Park Slope, Brooklyn, NY",,@homebodyboutique,Gift Shop & Home Goods,Charming gift shop specializing in fun home goods,$$,Perfect,,,,To Research,
The Nested Fig Home,Savannah,Midtown,"2428 Abercorn St, Savannah, GA 31401",https://www.thenestedfighomesavannah.com,@thenestedfighomesavannah,"Design Objects, Home Goods",Home and Garden lifestyle boutique offering latest designer finds at affordable prices,$$,Perfect,,,,To Research,
Arden Home,San Francisco,Hayes Valley,"Hayes Valley, San Francisco, CA",,@ardenhomesf,Designer-Recommended Home Goods,"Studio Munroe founder recommended, variety, custom orders",$$$,Perfect,,,,To Research,
Omoi Life Goods,Philadelphia,Old City,"41 S 3rd St, Philadelphia, PA 19106",https://omoionline.com,@omoi,"Design Objects, Home Goods","Curated Japanese-influenced stationery, home decor and lifestyle goods",$$,Perfect,,,,To Research,
